city,cloudiness,country,date,humidity,lat,Lng,Temp,Wind
Whitianga,0,NZ,1579386103,60,-36.83,175.7,66.97,7.92
Wenceslau Braz,88,BR,1579386104,99,-23.87,-49.8,70.0,4.0
Ferrol,75,ES,1579386105,87,43.48,-8.24,53.01,9.17
Quebo,0,GW,1579386106,73,11.33,-14.93,68.81,4.74
Zyryanovsk,100,KZ,1579386107,94,49.74,84.27,11.23,3.11
Pucallpa,40,PE,1579386109,100,-8.38,-74.55,35.6,6.93
Turaif,75,SA,1579386110,100,31.67,38.66,46.4,6.93
Chicama,20,PE,1579385825,73,-7.84,-79.15,75.2,10.29
Chiang Rai,0,TH,1579386112,100,19.91,99.83,61.0,2.28
Temir,100,KZ,1579386113,96,49.14,57.13,21.58,5.5
Huehuetan,40,MX,1579386114,41,15.02,-92.37,93.2,6.93
Boda,77,CF,1579386115,25,4.32,17.47,76.71,1.59
Killarney,0,IE,1579385935,90,52.05,-9.52,33.85,1.79
Eenhana,18,NA,1579386117,61,-17.47,16.33,78.8,6.93
Palana,67,RU,1579386118,92,59.12,159.97,4.06,5.91
Pangnirtung,100,CA,1579386119,99,66.15,-65.71,-22.95,1.19
Cockburn Town,75,TC,1579386121,73,21.46,-71.14,75.2,19.46
Vao,1,NC,1579386122,75,-22.67,167.48,76.35,15.26
Guayaramerin,58,BO,1579386123,56,-10.84,-65.36,89.44,1.03
Sidi Ali,100,DZ,1579386124,61,36.1,0.42,50.61,5.41
Sao Gabriel da Cachoeira,96,BR,1579386125,85,-0.13,-67.09,82.96,2.13
Valparaiso,40,CL,1579386100,64,-33.04,-71.63,69.8,4.7
Kakanj,75,BA,1579386127,100,44.13,18.12,28.4,3.0
Hearst,100,CA,1579386128,89,49.68,-83.67,11.1,9.86
Turtas,97,RU,1579386129,95,58.94,69.13,5.7,7.36
Vanimo,100,PG,1579386130,82,-2.67,141.3,82.22,22.77
Nome,1,US,1579386132,70,64.5,-165.41,1.4,12.75
Gizo,0,SB,1579386133,79,-8.1,156.84,79.47,6.62
Aracati,100,BR,1579386134,75,-4.56,-37.77,81.88,9.01
Ouadda,0,CF,1579386135,23,8.08,22.4,70.88,6.53
Varzea da Palma,36,BR,1579386136,86,-17.6,-44.73,75.63,7.61
Pinawa,100,CA,1579385879,92,50.15,-95.88,15.1,15.5
Ouahigouya,0,BF,1579386138,17,13.58,-2.42,70.12,9.37
Arona,0,ES,1579386139,20,28.1,-16.68,68.0,21.92
Neepawa,90,CA,1579386140,64,50.23,-99.47,-0.4,27.51
Kenai,1,US,1579386141,65,60.55,-151.26,6.8,9.17
Ngunguru,0,NZ,1579386143,61,-35.62,174.5,75.99,4.0
Kayerkan,40,RU,1579386144,75,69.35,87.76,-16.6,17.9
Bloomingdale,90,US,1579386102,57,27.89,-82.24,80.01,6.93
Paita,28,PE,1579386146,100,-5.09,-81.11,62.6,14.99
Guarapari,75,BR,1579386147,73,-20.67,-40.5,77.0,14.99
Nakhon Phanom,0,TH,1579386148,94,17.41,104.78,60.35,3.85
Santa Cruz Verapaz,72,GT,1579386149,80,15.37,-90.43,69.67,3.53
Homer,1,US,1579386150,72,59.64,-151.55,19.4,11.41
Saravena,80,CO,1579386151,75,6.95,-71.88,77.32,2.82
Maniitsoq,1,GL,1579386152,47,65.42,-52.9,14.61,9.13
Bandarbeyla,100,SO,1579386153,73,9.49,50.81,76.24,23.47
Abha,57,SA,1579386154,70,18.22,42.51,51.8,1.92
Tonj,61,SS,1579386156,17,7.27,28.68,75.18,5.46
Krasnosel'kup,0,RU,1579386157,98,65.7,82.47,-17.99,6.51
Maiduguri,100,NG,1579386158,50,11.85,13.16,65.23,8.23
Urusha,61,RU,1579386159,100,54.05,122.9,-19.37,0.69
Mackenzie,90,CA,1579386160,76,55.3,-123.17,-4.0,6.93
San Miguel de Tucuman,75,AR,1579386161,78,-26.82,-65.22,78.8,8.05
Santo Anastacio,40,BR,1579386162,58,-21.84,-51.61,82.4,9.17
Baharly,57,TM,1579386163,80,38.44,57.43,33.53,2.19
Asau,0,RO,1579386165,100,46.43,26.4,30.0,8.05
Olutanga,0,PH,1579386166,84,7.31,122.85,77.4,4.03
Avanuorri,30,NO,1579386167,68,71.0,24.66,24.8,21.92
Santa Barbara,1,US,1579386168,59,34.42,-119.7,69.8,4.7
Sawtell,40,AU,1579386169,83,-30.38,153.1,75.2,12.75
Shenjiamen,71,CN,1579386170,66,29.96,122.3,42.8,9.26
Gubkinskiy,92,RU,1579385874,98,64.43,76.5,-6.3,6.04
Hereford,100,GB,1579386172,90,52.06,-2.71,37.99,4.03
Tevaitoa,100,PF,1579386173,80,-16.78,-151.5,81.46,19.53
Inderka,100,RU,1579386174,97,53.25,46.26,29.07,6.11
Vilhena,20,BR,1579386175,69,-12.74,-60.15,82.4,9.17
Katsuura,20,JP,1579386057,65,35.13,140.3,41.0,10.29
Linxia,100,CN,1579385886,86,35.6,103.21,14.22,0.31
Quatre Cocos,40,MU,1579386179,94,-20.21,57.76,79.0,6.93
Maun,56,BW,1579386180,50,-19.98,23.42,80.47,2.73
Santiago,75,CL,1579386103,30,-33.46,-70.65,88.0,6.93
Cluses,0,FR,1579386182,92,46.06,6.58,35.01,1.12
Tual,7,ID,1579386183,81,-5.67,132.75,82.85,11.34
Gornorechenskiy,100,RU,1579386184,86,44.26,135.11,2.26,2.98
Kudahuvadhoo,70,MV,1579386185,80,2.67,72.89,82.44,15.05
Nalut,63,LY,1579386186,45,30.33,10.85,47.66,5.19
Forsytheganj,0,BY,1579386187,87,52.63,29.73,28.6,6.64
Aklavik,5,CA,1579386188,74,68.22,-135.01,-4.0,6.93
Tessalit,0,ML,1579386190,23,20.2,1.01,63.27,13.29
Mareeba,90,AU,1579386191,70,-17.0,145.43,86.0,2.24
Ngorongoro,100,TZ,1579386192,86,-3.24,35.49,64.62,1.54
Vestmannaeyjar,98,IS,1579386193,82,63.44,-20.27,42.12,25.23
Saint-Pierre,75,RE,1579386194,83,-21.34,55.48,80.6,5.82
Amagi,75,JP,1579386195,87,33.42,130.65,43.0,8.05
Mossamedes,0,AO,1579386196,86,-15.2,12.15,75.79,11.92
Kutum,0,SD,1579386197,49,14.2,24.67,52.25,4.9
Port Shepstone,100,ZA,1579386198,91,-30.74,30.45,69.04,9.31
Saint-Joseph,75,RE,1579386130,83,-21.37,55.62,80.6,5.82
Pilar,20,BR,1579386200,83,-9.6,-35.96,80.6,12.75
Busayra,100,JO,1579386201,96,30.74,35.61,44.29,11.65
Yerbogachen,96,RU,1579386203,95,61.28,108.01,9.57,7.29
Luganville,75,VU,1579386204,79,-15.53,167.17,84.2,5.82
Kumul,0,CN,1579386205,54,42.8,93.45,12.96,2.17
Partapur,0,IN,1579386206,61,23.6,74.17,55.31,9.01
Tselina,65,RU,1579386207,83,46.53,41.03,30.27,9.08
Corrente,100,BR,1579386208,91,-3.74,-43.34,77.45,3.47
Coolum Beach,9,AU,1579386209,88,-26.53,153.1,79.0,0.89
Belaya Gora,98,RU,1579386210,99,68.53,146.42,-21.96,1.59
Guozhen,99,CN,1579386211,46,34.37,107.36,28.31,2.91
Atambua,100,ID,1579386212,89,-9.11,124.89,75.42,1.3
Temirtau,100,KZ,1579386214,78,50.05,72.95,17.6,13.42
Meadow Lake,1,US,1579386215,16,34.8,-106.54,48.99,6.08
Lakes Entrance,100,AU,1579386216,77,-37.88,147.98,71.01,7.09
Gazojak,100,TM,1579386217,64,41.19,61.4,35.35,3.62
Sorland,100,NO,1579386218,86,67.67,12.69,40.66,27.27
Oranjemund,13,NA,1579386219,90,-28.55,16.43,62.42,10.58
Nieves,40,PH,1579386220,88,15.33,120.95,73.4,3.36
Zhangjiakou,0,CN,1579386221,77,40.81,114.88,2.95,5.32
Mount Isa,53,AU,1579386222,9,-20.73,139.5,91.4,8.05
Xapuri,75,BR,1579386224,74,-10.65,-68.5,84.2,3.36
Adelaide,75,AU,1579386225,72,-34.93,138.6,68.0,16.11
Kunashak,20,RU,1579386226,79,55.7,61.55,26.6,11.18
El Silencio,75,VE,1579386033,83,10.5,-66.92,78.8,6.93
Nong'an,90,CN,1579386228,78,44.38,125.17,14.0,3.96
Hofn,56,IS,1579386229,66,64.25,-15.21,40.82,6.31
Corn Island,44,NI,1579386230,78,12.17,-83.04,80.89,21.97
Mindyak,90,RU,1579386231,85,54.02,58.79,24.8,4.47
Korla,0,CN,1579386232,73,41.76,86.15,12.06,6.55
Cacahuatepec,75,MX,1579386234,70,16.89,-99.61,86.0,8.05
Melo,50,UY,1579386235,35,-32.37,-54.18,81.91,10.29
Fuerte Olimpo,74,PY,1579386236,43,-21.04,-57.87,97.45,3.6
Miracatu,100,BR,1579386237,80,-24.28,-47.46,71.06,3.04
Sur,0,OM,1579386238,59,22.57,59.53,65.05,7.45
Carutapera,94,BR,1579386239,78,-1.2,-46.02,82.4,12.01
Haines Junction,96,CA,1579386240,97,60.75,-137.51,-22.97,6.96
Abu Dhabi,0,AE,1579386241,77,24.47,54.37,62.6,2.24
Charagua,20,BO,1579386242,48,-19.8,-63.22,87.8,5.82
Matadi,97,CD,1579386243,94,-5.82,13.45,74.7,3.13
Kibala,8,TD,1579386245,40,9.11,18.35,73.4,6.93
Bria,0,CF,1579386246,25,6.54,21.99,74.05,4.7
Novyy Urengoy,0,RU,1579386247,95,66.08,76.63,-15.9,9.86
Karpogory,100,RU,1579386063,95,64.0,44.45,17.89,8.81
Doha,3,QA,1579386249,82,25.29,51.53,64.99,5.82
Wanning,67,CN,1579386250,85,18.8,110.4,69.19,5.84
Swift Current,1,CA,1579386097,75,50.28,-107.8,-14.8,23.04
Araouane,48,ML,1579386252,15,18.9,-3.53,66.97,12.37
Namatanai,100,PG,1579386253,77,-3.67,152.43,82.56,10.38
Oodweyne,4,SO,1579386254,46,9.41,45.06,62.69,12.59
Rabo de Peixe,75,PT,1579386255,100,37.8,-25.58,62.6,8.05
Monteagudo,20,BO,1579386256,48,-19.82,-63.98,87.8,5.82
Sarakhs,100,IR,1579386258,86,36.54,61.16,37.4,2.24
Bonthe,0,SL,1579386259,83,7.53,-12.51,79.02,7.81
Huntsville,90,US,1579386260,93,34.73,-86.59,57.0,9.17
Kumta,0,IN,1579386261,69,14.42,74.4,69.87,3.51
Tarko-Sale,99,RU,1579386262,82,64.92,77.78,-11.0,7.36
Marfino,75,RU,1579386263,86,55.7,37.38,28.4,11.18
Jidong,100,CN,1579386264,86,45.22,131.08,5.54,0.98
Chaozhou,75,CN,1579386265,76,23.67,116.64,57.2,4.47
Kashgar,0,CN,1579386266,73,39.45,75.98,19.4,8.95
Knysna,100,ZA,1579386267,100,-34.04,23.05,59.0,10.29
Mega,0,ET,1579386268,35,4.05,38.3,69.3,6.6
Buraidah,20,SA,1579386270,62,26.33,43.98,57.2,6.93
Riyadh,7,SA,1579386163,47,24.69,46.72,59.0,2.24
Skelleftea,100,SE,1579386272,85,64.75,20.95,23.0,8.05
Phan Thiet,19,VN,1579386260,91,10.93,108.1,65.62,2.39
Saryg-Sep,28,RU,1579386274,95,51.5,95.6,-7.92,2.77
Palmer,90,US,1579386275,85,42.16,-72.33,21.2,6.93
Koutiala,0,ML,1579386276,13,12.39,-5.46,72.1,9.26
Mecca,23,SA,1579386277,65,21.43,39.83,64.85,1.61
Prince Rupert,90,CA,1579386278,80,54.32,-130.32,35.6,18.34
Anito,65,PH,1579386279,82,12.45,125.29,80.4,20.65
